Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
Penitentiary III;1987;4,4;Action, Crime, Drama, Sport;United States;English;;;;;
The Caller;1987;6,1;Suspense Mystery, Mystery, SciFi, Thriller;United States;English;;;;;
Doraemon: Nobita and the Knights on Dinosaurs;1987;6,7;Anime, Adventure, Animation, Family, Fantasy, SciFi;Japan;Japanese;;;;;
Sweets from a Stranger;1987;5,2;Drama, Horror, Mystery, Thriller;Italy;Italian;;;;;
Blindside;1987;4,7;Thriller;Canada;English;;;;;
Forget Paris;1995;6,5;Romantic Comedy, Comedy, Romance;United States;English, French;;;;;
Home for the Holidays;1995;6,6;Comedy, Drama, Romance;United States;English;;;;;
Othello;1995;6,8;Tragedy, Drama, Romance;United Kingdom, United States;English;;;;;
Flamenco;1995;7,4;Documentary, Music;Spain;Spanish;;;;;
Feast of July;1995;6,2;Crime, Drama, Mystery, Romance;United Kingdom, United States;English;;;;;
Flirt;1995;6,3;Drama, Romance;United States, Germany, Japan;English, Japanese, German;;;;;
The Stars Fell on Henrietta;1995;6,4;Drama;United States;English;;;;;
For Better or Worse;1995;4,8;Action, Comedy, Drama;United States;English;;;;;
Best of the Best 3: No Turning Back;1995;4,9;Martial Arts, Action, Crime, Drama, Thriller;United States;English;;;;;
Jules and Jim;1962;7,7;Period Drama, Psychological Drama, Tragic Romance, Drama, Romance;France;French, German, English;;;;;
State Fair;1962;5,9;Musical, Romance;United States;English, Italian, Spanish, French;;;;;
David and Lisa;1962;7,2;Drama;United States;English;;;;;
Diary of a Mad Old Man;1962;7;Comedy, Drama;Japan;Japanese;;;;;
Family Diary;1962;7,2;Drama;Italy;Italian, English;;;;;
Terrified;1962;4,4;Slasher Horror, Horror;United States;English;;;;;
Medaljon sa tri srca;1962;7,8;Drama, Romance;Yugoslavia;SerboCroatian;;;;;
Mediterranean Holiday;1962;7,5;Documentary;West Germany, Yugoslavia;German;;;;;
Avatar: The Way of Water;2022;7,5;Action Epic, Adventure Epic, SciFi Epic, Sea Adventure, Action, Adventure, Fantasy, SciFi;United States;English;;;;;
The Bad Guys;2022;6,8;Animal Adventure, Computer Animation, Adventure, Animation, Comedy, Crime, Family;United States, United Kingdom;English, Spanish;;;;;
EO;2022;6,7;Psychological Drama, Drama;Poland, Italy;Polish, Italian, English, French, Spanish;;;;;
God's Country;2022;5,6;Psychological Thriller, Thriller;United States;English;;;;;
Dreamin' Wild;2022;6,4;Biography, Drama, Music;United States;English;;;;;
CatVideoFest 2022;2022;;Documentary;United States;;;;;;
The Return of Tanya Tucker: Featuring Brandi Carlile;2022;7,3;Documentary;United States;English;;;;;
Linoleum;2022;6,5;Space SciFi, Drama, SciFi;United States;English;;;;;
God's Time;2022;5;HighConcept Comedy, Comedy, Drama;United States;English;;;;;
Chip 'n Dale: Rescue Rangers;2022;6,9;Buddy Comedy, Computer Animation, HandDrawn Animation, Urban Adventure, Action, Adventure, Animation, Comedy, Crime, Family;United States, Canada, Philippines;English;;;;;
Causeway;2022;6,6;Psychological Drama, Drama;United States, Finland;English, American Sign Language;;;;;
All the Old Knives;2022;6,1;Suspense Mystery, Mystery, Thriller;United States, Canada;English;;;;;
Kindergarten Cop;1990;6,2;Cop Drama, HighConcept Comedy, Action, Comedy, Crime;United States;English, Spanish, German;;;;;
DuckTales the Movie: Treasure of the Lost Lamp;1990;6,8;HandDrawn Animation, Quest, Adventure, Animation, Comedy, Family, Fantasy;France, United States, United Kingdom;English;;;;;
Lisa;1990;5,9;Drama, Horror, Thriller;United States;English;;;;;
Impulse;1990;5,7;Crime, Drama, Thriller;United States;English;;;;;
The Invisible Maniac;1990;4,3;Raunchy Comedy, Slasher Horror, Comedy, Horror, SciFi;United States;English;;;;;
The Big Steal;1990;6,8;Comedy;Australia;English;;;;;
Tatar Ramazan;1990;7,9;Drama;Turkey;Turkish;;;;;
Maniac Nurses find Ecstasy;1990;2,8;Action, Comedy, Horror;Belgium, Hungary, United States;English;;;;;
Korczak;1990;7,4;Biography, Drama, War;Poland, Germany, United Kingdom;Polish, German;;;;;
Shiva;1990;7,6;Action, Crime, Drama;India;Hindi;;;;;
Kizhakku Vasal;1990;7,1;Drama, Romance;India;Tamil;;;;;
Cellini: A Violent Life;1990;7,1;Biography, Drama, History;Italy, France, Germany;Italian;;;;;
Flags of Our Fathers;2006;7,1;War Epic, Action, Adventure, Drama, History, War;United States;English;;;;;
Miss Potter;2006;7;Docudrama, Period Drama, Biography, Drama, Romance;United Kingdom, United States, Isle of Man;English;;;;;
Copying Beethoven;2006;6,7;Period Drama, Biography, Drama, Music;United Kingdom, Germany, Hungary;English;;;;;
Outsourced;2006;7;Workplace Drama, Comedy, Drama, Romance;United States;English, Hindi;;;;;
Renaissance;2006;6,6;Adult Animation, Action, Animation, SciFi, Thriller;France, Luxembourg, United Kingdom, Belgium, United States;English, French;;;;;
The Situation;2006;6,3;Drama, War;United States;English, Arabic;;;;;
Been Rich All My Life;2006;8,4;Documentary;United States;English;;;;;
Shanghai Red;2006;5,5;Drama;United States, China;English, Mandarin;;;;;
Rio Lobo;1970;6,7;Drama, War, Western;United States, Mexico;English, Spanish;;;;;
The Cheyenne Social Club;1970;6,8;Western;United States;English;;;;;
The Midnight Graduate;1970;6,2;Drama, Romance;United States;English;;;;;
Rabbit, Run;1970;5,4;Drama;United States;English;;;;;
The Baby Maker;1970;6,1;Drama;United States;English;;;;;
The Lady in the Car with Glasses and a Gun;1970;6,1;Drama, Mystery, Thriller;France, United States;French;;;;;
Fools;1970;5,1;Drama;United States;English;;;;;
Coach Carter;2005;7,3;Basketball, Docudrama, Biography, Drama, Sport;United States, Germany;English;;;;;
